mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0392-CAC1DD;MEGARIPP Q3 16 KH-KMR-KH 1x300mm d63 d63;KH-KMR-KH, Si;4255651700601;90289090;Stk;1;6.471,85;;2,50%;158,492;1000,0;1530,0;1000,0
0392-CBE1DD;MEGARIPP Q3 16 FS-KSR 1x300mm d63 d63;FS-KSR, Si;4255651700618;90289090;Stk;1;6.383,60;;2,50%;158,492;1000,0;1530,0;1000,0
0395005;FLEXORIPP Isolierdeckel;;4250204492446;90289090;Stk;1;48,19;;2,50%;0,550;485,0;105,0;485,0
0395006;Rahmen Klasse A/B für FLEXORIPP;;4250204489217;90289090;Stk;1;89,97;;2,50%;22,000;550,0;130,0;580,0
0395007;Deckel für FLEXORIPP, EN124,  A15;;4250204489224;90289090;Stk;1;179,96;;2,50%;16,200;526,0;48,0;552,0
0395008;Deckel für FLEXORIPP, EN124,  B125;;4250204489231;90289090;Stk;1;269,92;;2,50%;24,400;526,0;48,0;552,0
0395021;Hebe-Leine RD 0,75 m für FLEXORIPP;Schwarz;4250204492453;56075011;Stk;1;17,60;;2,50%;0,130;400,0;300,0;20,0
0395022;Hebe-Leine RD 1,00 m für FLEXORIPP;Schwarz mit weißem Kennfaden;4250204492460;56075011;Stk;1;18,91;;2,50%;0,150;300,0;400,0;20,0
0395023;Hebe-Leine RD 1,25 m für FLEXORIPP;Schwarz mit blauem Kennfaden;4250204492477;56075011;Stk;1;20,21;;2,50%;0,160;300,0;400,0;20,0
0395024;Hebe-Leine RD 1,50 m für FLEXORIPP;Schwarz mit rotem Kennfaden;4250204492484;56075011;Stk;1;21,10;;2,50%;0,180;300,0;400,0;20,0
0395025;Hebe-Leine RD 1,75 m für FLEXORIPP;Blau;4250204492491;56075011;Stk;1;22,38;;2,50%;0,200;300,0;400,0;20,0
0395026;Steckschlüssel SW15 für Schachtabdeckung;;4250204495935;82055980;Stk;1;12,16;;2,50%;0,144;30,0;50,0;30,0
0395048;"Schlauch-Schacht-Passstück 1¼"" x 175mm,Si";;4250204496468;90289090;Stk;1;214,14;;2,50%;2,000;31,0;31,0;175,0
