mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396115;"FLEXORIPP 1"" KH-KSR 1""x190mm Rd2,00m";;4250204490657;90289090;Stk;;1.382,36;;;46,893;682;2070;704
0396120;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd0,75m";;4250204492798;90289090;Stk;;1.312,17;;;28,2;682;820;704
0396121;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd1,00m";;4250204492804;90289090;Stk;;1.312,17;;;32,1;682;820;704
0396122;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd1,25m";;4250204492811;90289090;Stk;;1.354,29;;;37;682;1320;704
0396123;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd1,50m";;4250204492828;90289090;Stk;;1.424,46;;;40,8;682;1570;704
0396124;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd1,75m";;4250204492835;90289090;Stk;;1.529,70;;;44,8;682;820;704
0396125;"FLEXORIPP 1¼"" KH-KSR 1¼""x260mm Rd2,00m";;4250204492842;90289090;Stk;;1.634,97;;;48,7;682;820;704
0396130;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd0,75m";;4250204493184;90289090;Stk;;1.087,64;;;30,4;682;1070;704
0396131;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd1,00m";;4250204490664;90289090;Stk;;1.087,64;;;30,4;682;1070;704
0396132;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd1,25m";;4250204490367;90289090;Stk;;1.129,74;;;33,97;682;1320;704
0396133;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd1,50m";;4250204490671;90289090;Stk;;1.206,95;;;39,1;682;1570;704
0396134;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd1,75m";;4250204490688;90289090;Stk;;1.305,17;;;43,1;682;1820;704
0396135;"FLEXORIPP 1"" KH-KSR 1¼""x175mm Rd2,00m";;4250204490695;90289090;Stk;;1.410,42;;;47;682;2070;704
0396140;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd0,75m";;4250204493191;90289090;Stk;;1.087,64;;;30,1;682;1070;704
0396141;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd1,00m";;4250204490701;90289090;Stk;;1.087,64;;;30,1;682;1070;704
0396142;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd1,25m";;4250204490718;90289090;Stk;;1.129,74;;;35,9;682;1320;704
0396143;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd1,50m";;4250204490725;90289090;Stk;;1.206,95;;;38,8;682;1570;704
0396144;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd1,75m";;4250204490732;90289090;Stk;;1.305,17;;;42,8;682;1820;704
0396145;"FLEXORIPP 1"" KH-KSR 1""x220mm Rd2,00m";;4250204490749;90289090;Stk;;1.410,42;;;46,7;682;2070;704
0396160;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd0,75m";;4250204491814;90289090;Stk;;1.270,09;;;27;682;820;704
0396161;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd1,00m";;4250204491821;90289090;Stk;;1.270,09;;;31,2;682;1070;704
0396162;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd1,25m";;4250204490756;90289090;Stk;;1.312,17;;;36,14;682;1320;704
0396162-DIBT;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd1,25m";;4250204498011;90289090;Stk;;1.799,39;;;43,1;682;1320;704
0396163;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd1,50m";;4250204490763;90289090;Stk;;1.382,36;;;39,9;682;1570;704
0396164;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd1,75m";;4250204490770;90289090;Stk;;1.487,63;;;43,9;682;1820;704
0396165;"FLEXORIPP 1"" KH-DM-KSR 1""x190mm Rd2,00m";;4250204490787;90289090;Stk;;1.592,87;;;47,8;682;2070;704
0396170;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd0,75m";;4250204493207;90289090;Stk;;1.522,70;;;29,7;682;820;704
0396171;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd1,00m";;4250204493214;90289090;Stk;;1.522,70;;;33,6;682;820;704
0396172;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd1,25m";;4250204493221;90289090;Stk;;1.564,79;;;38,5;682;820;704
0396173;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd1,50m";;4250204493238;90289090;Stk;;1.634,97;;;42,2;682;1570;704
0396174;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd1,75m";;4250204493245;90289090;Stk;;1.740,22;;;46,3;682;820;704
0396175;"FLEXORIPP 1¼"" KH-DM-KSR 1¼""x260mm Rd2,00m";;4250204493252;90289090;Stk;;1.845,48;;;50,2;682;820;704
0396180;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd0,75m";;4250204493269;90289090;Stk;;1.466,78;;;31,5;682;1070;704
0396181;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd1,00m";;4250204491838;90289090;Stk;;1.298,15;;;31,5;682;1070;704
